index;x;y;z
0;-0.199799;-0.024323;-0.920303
1;-0.219376;-0.025330;-0.985321
2;-0.225510;-0.016678;-1.029099
3;-0.205734;-0.006134;-0.996994
4;-0.194748;-0.016296;-0.983017
5;-0.184280;-0.012466;-0.952759
6;-0.184631;-0.005478;-0.935120
7;-0.167358;-0.004181;-0.940048
8;-0.190277;0.010376;-1.018372
9;-0.140320;0.007172;-0.952240
10;-0.181137;0.007553;-1.016129
11;-0.155258;0.006744;-0.949249
12;-0.152496;0.001007;-0.983841
13;-0.178833;0.000824;-0.992111
14;-0.151932;-0.010590;-0.979034
15;-0.171112;-0.004944;-1.002151
16;-0.155273;-0.022293;-0.985077
17;-0.160202;-0.017822;-0.979736
18;-0.160538;-0.021927;-0.989777
19;-0.174866;-0.030228;-0.990433
20;-0.168839;-0.040054;-0.982376
21;-0.169479;-0.042572;-0.976181
22;-0.171783;-0.036346;-0.985275
23;-0.164627;-0.036774;-0.989929
24;-0.171555;-0.033386;-0.996689
25;-0.190933;-0.025528;-0.976166
26;-0.178116;-0.028458;-0.944016
27;-0.187592;-0.032776;-0.980072
28;-0.174332;-0.037521;-0.985077
29;-0.174011;-0.036392;-0.979340
30;-0.197922;-0.025482;-0.963837
31;-0.175217;-0.034897;-0.967285
32;-0.176346;-0.022980;-0.990112
33;-0.185638;-0.028076;-0.967834
34;-0.192719;-0.029221;-0.966995
35;-0.195816;-0.045609;-0.970734
36;-0.222031;-0.038956;-0.959137
37;-0.232727;-0.039856;-0.845840
38;-0.274261;0.003098;-0.384888
39;0.022049;-0.018295;0.062057
40;0.019821;-0.006897;-0.002213
41;0.019867;-0.006180;-0.006683
42;0.021133;-0.004837;-0.015091
43;0.019623;-0.004593;-0.022980
44;0.020233;-0.003021;-0.030319
45;0.019485;-0.003113;-0.037750
46;0.020630;-0.002258;-0.046005
47;0.020081;-0.001389;-0.059875
48;7.116974;-2.348862;-5.762222
49;1.807037;-0.014740;0.176376
50;0.165237;-0.102859;-0.002258
51;0.092957;-0.135056;-0.002640
52;2.106873;-0.522247;-1.819122
53;0.329712;-0.360626;-0.472137
54;-3.289627;1.668320;-0.586960
55;0.115433;-0.016434;-0.006012
56;1.078079;-0.167252;-2.846558
57;-0.506653;0.193756;-0.478638
58;0.274689;0.005051;-1.467438
59;-0.046616;0.077988;-0.689529
60;0.086121;-0.007538;-1.176178
61;0.060059;-0.012512;-1.050949
62;0.024521;-0.004089;-1.023376
63;0.021957;-0.002502;-0.999161
64;0.030502;-0.006256;-0.986160
65;0.025421;-0.000351;-0.995407
66;0.029678;-0.018188;-1.005127
67;0.020889;-0.001343;-0.978622
68;0.023651;-0.000793;-1.007248
69;0.026611;0.000412;-0.990677
70;0.030853;-0.002945;-1.002518
71;0.025665;-0.003128;-1.001129
72;0.022781;-0.001953;-0.992645
73;0.025421;-0.002533;-0.998276
74;0.023193;-0.030411;-0.363602
75;0.158371;-0.021561;-1.051498
76;-0.008408;-0.063522;-1.087723
77;0.008820;-0.003754;-0.913422
78;0.042496;-0.016159;-0.976212
79;0.030640;-0.012146;-0.962463
80;0.034821;-0.006912;-0.930450
81;-0.028107;-0.010437;-1.122223
82;0.035538;-0.014832;-0.939972
